Stick
00000011
00000111
00001110
00011100
00111000
01110000
11100000
11000000


dagger
0	0	0	0	0	1	1	1
0	0	0	0	1	1	1	1
0	0	0	1	1	1	1	1
0	0	1	1	1	1	1	0
1	1	1	1	1	1	0	0
0	1	1	1	1	0	0	0
1	1	1	1	1	0	0	0
1	1	0	1	0	0	0	0

Battle axe
0	0	0	1	1	0	0	1
0	0	1	1	1	1	1	0
0	0	1	1	0	1	1	0
0	0	0	0	1	0	1	1
0	0	0	1	0	1	1	1
0	0	1	0	0	1	1	0
0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0

Death scythe
0	0	1	1	1	1	1	0
0	1	1	1	1	1	1	1
1	1	1	0	0	1	0	1
1	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0

Excalibur
0	0	0	0	0	0	1	1
0	0	0	0	0	1	1	1
0	0	0	0	1	1	1	0
0	0	0	1	1	1	0	0
0	0	1	1	1	0	0	0
1	1	1	1	0	0	0	0
0	1	1	0	0	0	0	0
1	0	1	0	0	0	0	0

light armor
0	0	0	0	0	0	0	0
0	0	1	1	1	1	0	0
0	1	1	1	1	1	1	0
0	1	1	1	1	1	1	0
0	0	1	1	1	1	0	0
0	0	1	1	1	1	0	0
0	0	0	1	1	0	0	0
0	0	0	0	0	0	0	0

Heavy armor
0	1	1	1	1	1	1	0
0	1	0	1	1	0	1	0
1	1	0	1	1	0	1	1
1	0	1	0	0	1	0	1
1	1	0	1	1	0	1	1
1	0	1	0	0	1	0	1
0	1	0	1	1	0	1	0
0	0	1	1	1	1	0	0

Juggernaught
0	0	0	1	1	0	0	0
0	1	1	0	0	1	1	0
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
0	1	0	1	1	0	1	0
0	0	1	1	1	1	0	0
0	0	1	1	1	1	0	0
